Residential,Industrial,Transportation
1932.187,2701.524,1509.552
1687.255,2460.752,1442.127
1497.067,2579.613,1564.016
1177.661,2550.21,1482.632
1015.008,2741.81,1624.436
933.663,2641.221,1543.553
981.183,2691.487,1587.202
1018.978,2817.613,1649.55
956.55,2661.997,1505.857
991.668,2911.515,1580.742
1197.249,2937.298,1585.217
1507.395,2927.596,1537.891
1823.499,2601.723,1441.921
1562.936,2504.584,1341.826
1436.363,2591.78,1483.195
1215.416,2427.63,1469.842
1010.945,2610.64,1559.392
936.124,2526.551,1528.118
1013.51,2687.414,1581.456
987.592,2735.222,1604.223
919.805,2691.142,1458.89
999.326,2907.338,1572.633
1141.133,2809.339,1510.563
1607.437,2692.136,1568.378
1758.226,2763.065,1545.584
1615.051,2275.417,1361.954
1538.328,2440.013,1519.702
1366.55,2104.502,1510.837
1034.664,2220.526,1545.238
936.766,2286.045,1529.658
1003.672,2389.446,1560.25
1012.72,2452.756,1560.436
926.799,2422.751,1493.554
954.616,2693.61,1571.249
1065.259,2603.459,1445.305
1598.15,2762.669,1601.232
1986.659,2669.716,1535.406
1674.363,2327.845,1421.841
1434.389,2463.82,1607.566
1163.868,2359.133,1584.545
1009.166,2508.466,1567.172
964.724,2526.313,1613.299
1006.965,2622.912,1651.192
1002.932,2622.754,1609.175
923.155,2552.47,1582.273
1005.253,2906.867,1602.472
1372.664,2857.016,1602.617
1863.448,2976.731,1723.225
2239.681,2801.56,1585.432
1869.527,2238.883,1529.74
1441.002,2601.65,1659.602
1132.077,2463.15,1640.796
979.115,2670.669,1620.607
971.294,2699.588,1678.044
1084.85,2657.426,1669.284
1065.597,2746.716,1715.861
974.452,2737.107,1647.372
1018.153,2851.468,1669.798
1173.632,2853.192,1650.399
1708.154,2944.423,1754.664
2000.053,2935.009,1651.746
1924.551,2462.234,1579.264
1696.087,2494.343,1765.033
1206.671,2521.259,1671.216
1081.209,2712.974,1786.987
1006.572,2642.119,1744.207
1091.233,2736.671,1724.251
1118.362,2772.882,1802.121
1037.052,2650.587,1657.069
1050.203,2881.357,1737.709
1223.173,2902.769,1725.772
1692.701,2978.896,1771.69
2087.712,3046.493,1739.367
1987.811,2601.203,1671.974
1608.938,2716.638,1835.958
1240.043,2572.446,1653.147
1030.974,2816.628,1741.283
956.854,2763.461,1677.392
1038.818,2798.07,1661.98
1087.877,2872.964,1746.596
973.422,2726.214,1631.795
1016.045,3014.256,1738.242
1205.234,2974.3,1645.91
1576.952,3023.08,1727.893
1826.947,2957.907,1683.412
1779.042,2658.723,1629.048
1603.835,2748.129,1690.604
1209.233,2484.338,1677.628
1016.289,2595.274,1656.148
1003.445,2517.169,1590.303
1163.408,2503.659,1644.729
1168.734,2486.699,1600.924
1041.657,2578.643,1594.546
1043.756,2812.166,1679.806
1226.25,2773.898,1544.591
1670.298,2918.559,1703.29
2014.965,2728.047,1708.834
1683.398,2293.368,1510.657
1440.933,2600.476,1642.089
1108.806,2399.475,1594.921
996.568,2558.023,1620.232
1011.218,2529.46,1650.824
1125.714,2578.251,1674
1086.1,2575.742,1635.993
951.551,2517.445,1596.553
1049.961,2664.389,1617.451
1180.761,2543.088,1557.822
1605.626,2724.461,1703.273
2037.891,2628.64,1573.214
1742.925,2184.459,1493.75
1533.826,2383.021,1633.336
1294.481,2224.421,1649.936
1009.215,2206.428,1610.761
968.998,2230.655,1602.435
1104.857,2276.115,1613.137
1099.316,2296.163,1592.794
1022.053,2178.64,1547.573
1005.641,2362.924,1566.54
1168.342,2364.299,1586.483
1539.935,2279.362,1619.863
1922.144,2307.397,1511.252
1580.016,2123.766,1374.025
1490.168,2279.943,1675.889
1273.99,2188.932,1540.887
1034.261,2262.386,1618.355
978.628,2260.918,1642.167
1141.32,2300.968,1624.692
1213.98,2353.518,1667.249
1056.284,2238.222,1606.672
976.307,2310.584,1619.832
1130.908,2360.477,1583.394
1625.005,2442.541,1712.182
2129.572,2642.979,1623.344
1675.856,2418.941,1478.84
1589.806,2570.505,1647.003
1291.656,2460.433,1625.737
1108.134,2519.4,1697.791
1052.346,2454.306,1666.333
1132.58,2448.97,1681.849
1168.674,2515.35,1727.355
1028.098,2313.561,1591.241
1008.054,2440.579,1668.474
1187.911,2379.917,1619.644
1582.196,2408.154,1627.965
1953.435,2591.591,1647.801
1913.52,2337.967,1504.787
1516.21,2395.138,1678.228
1206.396,2355.024,1685.978
1014.664,2428.082,1734.382
1035.519,2349.195,1660.861
1149.519,2407.347,1720.91
1156.849,2425.344,1771.71
1064.453,2264.185,1596.404
1055.261,2400.529,1716.489
1180.795,2329.738,1640.877
1795.12,2528.496,1729.485
1981.74,2552.052,1656.988
1684.176,2347.777,1509.074
1539.834,2481.556,1744.494
1180.938,2345.154,1722.59
1057.117,2418.761,1770.133
1057.373,2325.066,1735.06
1249.832,2310.835,1821.882
1187.564,2293.246,1830.078
1049.093,2233.483,1669.904
1078.56,2303.982,1791.715
1229.547,2262.122,1693.472
1675.117,2399.26,1843.4
1931.481,2615.353,1720.934
1681.156,2347.609,1616.725
1554.99,2389.077,1771.882
1250.069,2374.998,1783.711
1079.592,2395.457,1828.945
1112.209,2432.019,1811.055
1268.777,2489.109,1880.589
1271.368,2450.339,1831.196
1079.85,2381.24,1775.383
1104.985,2483.461,1857.96
1243.133,2416.203,1729.639
1686.844,2601.464,1860.857
2133.93,2567.198,1814.99
1859.792,2500.869,1770.153
1630.123,2643.031,1922.493
1260.376,2403.707,1841.677
1108.817,2519.327,1845.667
1121.331,2529.722,1884.918
1312.656,2526.482,1863.132
1373.343,2651.49,1896.835
1116.235,2480.476,1823.307
1134.134,2618.111,1891.139
1317.127,2558.648,1833.316
1765.873,2675.79,1930.081
1974.551,2614.629,1820.264
1848.714,2485.968,1706.618
1771.579,2656.47,1931.752
1339.39,2509.113,1806.738
1174.052,2590.139,1886.07
1174.374,2594.016,1912.681
1319.847,2588.8,1872.51
1319.207,2673.858,1955.06
1180.54,2524.941,1797.13
1183.343,2679.425,1936.657
1382.351,2639.231,1852.756
2118.429,2761.507,1999.713
2020.627,2658.644,1867.538
1641.38,2475.465,1754.562
1559.608,2677.142,1926.259
1299.688,2613.799,1819.359
1142.782,2667.652,1922.339
1194.847,2635.319,1855.261
1334.278,2669.155,1897.681
1322.712,2806.559,2012.642
1214.41,2606.283,1760.328
1161.169,2726.309,1895.943
1292.48,2594.989,1837.635
1753.127,2682.332,1870.097
2139.467,2754.413,1819.779
1687.449,2369.562,1659.908
