# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=429555704
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-33.6948,1,0.25,1,1,0,47.5339,-0.575911
-33.6948,0,14.3855,0,1,1,33.7203,-0.575911
-33.6948,0,2.43117,0,1,1,34.0066,-0.575911
-30.2752,1,0.239791,1,3,0,33.1965,-0.00325587
-30.2752,0.820131,0.324332,1,1,0,30.4561,-0.00325587
-30.3578,0.97692,0.296679,2,3,0,30.3578,-0.0828382
-30.3578,0.371694,0.463798,1,1,0,30.7725,-0.0828382
-30.2766,0.994012,0.116204,1,3,0,30.496,-0.00817612
-30.3818,0.971559,0.204805,1,3,0,30.4531,0.112781
-30.8428,0.836425,0.34551,1,3,0,30.8567,-0.229639
-30.2795,1,0.385884,1,1,0,30.4521,0.0328061
-30.2795,0.00248231,0.728486,1,1,0,30.5955,0.0328061
-30.592,0.986054,0.0595802,3,9,0,31.7835,-0.169497
-30.4583,0.999998,0.109213,2,3,0,30.603,-0.126975
-30.2889,0.984088,0.208868,1,3,0,30.574,0.0477408
-30.2889,0.00954558,0.378597,1,1,0,32.652,0.0477408
-30.4401,0.997755,0.0340212,3,15,0,31.0755,-0.120113
-31.5298,0.980791,0.0649111,2,5,0,31.691,-0.34548
-31.599,0.995297,0.116743,1,1,0,31.6577,-0.355103
-31.2346,1,0.217627,2,3,0,31.6607,-0.301063
-33.8676,0.111994,0.4077,1,1,0,33.8906,0.608175
-34.2439,0.996011,0.0547726,2,3,0,34.3293,0.638778
-34.0927,1,0.101678,1,1,0,34.3722,0.626665
-36.8721,0.608299,0.18908,1,1,0,37.0016,0.820943
-36.5121,1,0.112574,1,1,0,37.105,0.798479
-30.7755,1,0.207132,2,3,0,35.3044,-0.215112
-30.3077,1,0.37727,1,1,0,30.4472,0.0670784
-30.3077,2.66186e-014,0.680304,1,1,0,32.3488,0.0670784
-30.2766,0.999745,0.0749819,4,15,0,30.3421,-0.00806336
-30.3975,0.971046,0.135631,1,3,0,30.7123,0.120037
-30.2821,0.993628,0.224573,2,3,0,30.4423,0.0378088
-30.2821,0.672297,0.392078,1,1,0,30.4767,0.0378088
-30.9645,0.422107,0.285427,2,3,0,33.0545,-0.253907
-31.0766,0.993596,0.107034,1,1,0,31.0828,-0.274427
-31.3316,0.957074,0.185433,1,1,0,31.4028,-0.316327
-30.2942,0.979917,0.289279,2,3,0,30.9844,0.0540846
-30.2942,0.273433,0.475609,1,1,0,30.4729,0.0540846
-30.2843,0.99247,0.124625,2,5,0,30.4544,-0.0236469
-30.3614,0.986568,0.211324,1,3,0,30.3655,-0.0847324
-30.4006,0.976236,0.350119,1,1,0,30.4584,-0.103747
-30.4006,0.0420393,0.56077,1,1,0,30.4782,-0.103747
-30.5379,0.992837,0.0854089,1,3,0,30.6372,-0.153657
-31.0854,0.980938,0.143035,3,7,0,31.1586,-0.275991
-31.9141,0.801843,0.23082,1,1,0,32.0001,-0.396065
-31.4761,1,0.238219,1,1,0,32.0493,-0.337821
-30.7358,1,0.398436,1,1,0,31.4408,-0.206066
-30.7358,2.83997e-008,0.661542,1,1,0,30.7771,-0.206066
-30.9423,0.937915,0.0983939,2,7,0,33.2053,0.267341
-30.8326,0.990592,0.141186,2,3,0,31.1929,0.245188
-30.5406,0.924621,0.228409,1,3,0,31.488,-0.154466
-30.8341,0.865053,0.314232,1,1,0,30.9644,-0.227807
-30.7259,0.980151,0.374393,1,3,0,30.8074,0.221437
-30.7259,0.0793097,0.581621,1,3,0,30.7574,0.221437
-30.7716,0.982756,0.112007,2,3,0,31.1519,0.231915
-30.5314,0.861589,0.175371,1,3,0,32.347,-0.151647
-30.7305,0.958213,0.20705,1,1,0,30.7477,-0.204818
-30.7425,0.998151,0.303665,2,3,0,30.7425,0.225302
-30.4289,1,0.484953,1,1,0,30.7439,0.133351
-30.4289,7.33239e-090,0.773172,1,1,0,33.7808,0.133351
-30.2943,0.997891,0.132265,2,5,0,30.5027,-0.036498
-32.1923,0.79491,0.21031,2,3,0,32.3241,0.446742
-30.5672,0.829173,0.212763,1,3,0,33.6885,-0.162411
-30.3897,1,0.231937,1,1,0,30.527,-0.0988137
-30.4918,0.952978,0.36618,1,3,0,30.504,0.156463
-30.4918,2.39587e-005,0.519459,1,1,0,32.9452,0.156463
-30.4673,1,0.094596,1,1,0,30.4919,0.147929
-30.2837,0.99185,0.1489,2,5,0,30.5796,0.0403737
-30.3882,0.968254,0.229169,1,3,0,30.4527,-0.0981257
-30.2896,0.770462,0.333924,2,3,0,30.68,0.0486466
-30.3896,0.950179,0.319653,1,1,0,30.3983,0.116441
-30.4311,0.95954,0.445789,1,1,0,30.4318,-0.116579
-30.4311,1.38083e-012,0.631633,1,1,0,31.2351,-0.116579
-30.3933,1,0.122386,1,1,0,30.4285,-0.100465
-30.2856,0.999663,0.189026,2,3,0,30.3983,-0.0256016
-30.3321,0.95548,0.290414,2,3,0,30.421,0.0852412
-30.274,1,0.405943,1,1,0,30.2931,0.0134127
-30.274,0.159042,0.618877,1,1,0,30.3889,0.0134127
-30.3429,0.993241,0.17224,2,3,0,30.3431,0.0919626
-30.484,0.95374,0.259027,1,1,0,30.4934,0.153802
-30.484,0.00070118,0.358515,1,1,0,35.31,0.153802
-30.5317,0.999085,0.0744023,2,3,0,30.5408,0.169421
